barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6939788900025,蓝萱超轻粘土24色,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6971529892435,倍清立体镭射射益智贴纸20张,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972156061058,芊慕伊品贴纸,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972156061065,芊慕伊品贴纸系列12.9元,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972156061072,芊慕伊品饰品系列15.9元,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972144800829,麦乐宝盘装益智牙医玩具,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6946785119152,若来AMT01日落游乐园-八音造梦创意拼装,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6974833230795,金榜题名魔方,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6975897080098,卡哇伊梦幻潮玩系列玩具,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6976728990036,豪巧考古系列玩具HQ-601,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6975897080081,卡哇伊益智潮玩系列玩具,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972984886298,布鲁可奥特曼名鉴群星版第10弹,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972984886489,布鲁可火影忍者布鲁可积木人木叶飞舞,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972984886649,布鲁可奥特名鉴群星版积木人,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6974833231433,鱼跃龙门滑动徽章,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972984887332,布鲁可群星版飞车第十二弹,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972984887615,布鲁可变形金刚群星版第6弹,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6935539618065,晶晶水晶泥4006,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972984887660,布鲁可英雄无限星光版第5弹将星争霸,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972984887646,布鲁可变形金刚积木人71301,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972984887967,布鲁可第九弹闪耀版积木人,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972984888148,布鲁可变形金刚第二弹星辰版71302,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972984888544,布鲁可英雄总动员星辰版,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972984889176,布鲁可火影忍者群星版第三弹忍者之心,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972984888469,布鲁可星光版英雄无限第6弹85041积木人单盒,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972984889107,布鲁可英雄无限法相孙悟空,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972984888858,布鲁可71123变形金刚闪耀版第三弹闪耀群雄,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6936798321789,奇妙新生代勇士翻翻乐第1弹积木,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972984888650,布鲁可变形金刚群星版,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972984888995,布鲁可奥特名鉴闪耀版第10弹,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972984889374,布鲁可群星版第14弹连接心愿,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6936798324346,奇妙第一弹拼装积木,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972984887684,布鲁可奥特曼群星版第13弹,教育类玩具,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
