barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6973830380748,卡游小马宝莉友谊永恒卡辉月包,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973830385415,超宇宙奥特曼英雄X档案卡牌豪华版,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973830385910,卡游小马宝莉友谊永恒卡趣影包,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6976720770544,卡游奥特曼英雄纹章人偶印章,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973830388164,卡游叶罗丽仙境卡晶钻包第12弹,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973830387266,卡游名侦探柯南一名推理收藏卡,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6976720771015,卡游火影忍者马口铁徽章常规系列,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6937187400672,卡游名侦探柯南漫画主题徽章系列,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973731512170,集卡社哪吒之魔童闹海收藏卡,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973830388843,卡游名侦探柯南百万美元的五棱星徽章系列,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6937187400177,卡游名侦探柯南名推理收藏卡,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973830389901,卡游哪吒之魔童闹海电影收藏卡,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6976720771312,卡游柯蓝徽章30周年常规系列,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6977890880996,集卡社哪吒贰之魔童闹海电影豪华版收藏卡,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973830389772,卡游小马宝莉友谊永恒卡,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973830389895,卡游哪吒之魔童闹海电影收藏卡,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6977890880330,集卡社时光代理人×三丽鸥家族收藏卡,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6937187401082,卡游哪吒之魔童闹海灵焰包,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973830388157,卡游叶罗丽仙境收藏卡梦幻包第十一弹盒装,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973830388188,卡游小马宝莉KAYOU,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6937187402034,卡游哪吒闹海卡包,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6937096195263,麦和名侦探柯南消失的手表系列腕表盲盒MHS180026,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970288779247,铠迪动漫超碰夜光跳跳糖1g,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6937187400900,卡游UTM-YXS-03奥特曼英雄赏英雄计划U系列,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6937187403185,卡游《哪吒之魔童闹海》中性笔,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6977321129809,宝可梦集换式卡牌游戏宝石包10元/包,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6946785124415,ZQXX-Nanci国茜花间集系列手办（单个装）,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6937187400887,卡游英雄纪元银河激斗收藏勋章,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970288779544,佳仪卡皮巴拉吹泡泡玩具跳跳糖1g,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6946785122817,若来AME01酷洛米美乐蒂伴我同行旋转飞机,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6977890881979,集卡社时光代理人动画纪念收藏卡,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6937187401099,卡游哪吒电影收藏卡灵焰包,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6977819492811,非人哉敦煌画院联名使乐飞天系列马口铁徽章盲盒方形,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973830388225,卡游小马宝莉彩虹包第3弹5元包,潮玩动漫,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
