barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6901028000642,双喜经典硬包香烟/盒,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028000826,双喜牌经典软盒香烟/盒,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028000932,双喜硬世纪经典盒装香烟/盒,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028000963,双喜香烟软包/盒,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028000987,双喜牌香烟盒/盒,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028001618,双喜牌香烟经典/盒,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028001625,双喜1906硬盒香烟/条,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028001816,双喜盛世软盒/条,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028001885,双喜硬包香烟/条,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028002011,椰树硬包香烟/条,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028002233,椰树硬盒香烟/盒,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028002936,双喜硬蓝红玫王香烟/盒,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028002967,双喜牌红五叶神香烟/盒,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028003582,双喜经典工坊硬盒香烟/盒,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028003599,双喜经典工坊香烟/条,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028004305,双喜软经典1906香烟/条,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028004459,双喜细国喜硬盒香烟/条,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028004534,双喜硬紫红玫王香烟/盒,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028004541,双喜紫色红玫王香烟/条,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028004947,双喜软红玫王香烟至尊/盒,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028004992,双喜硬蓝红玫王香烟/条,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028005036,双喜五叶神硬盒香烟/条,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028005128,红玫盒精玫香烟/条,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028005197,双喜新装软红五叶神香烟/条,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028005210,双喜新装硬红五叶神香烟/条,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028005630,双喜金尊五叶神香烟/条,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028006408,双喜牌硬祥和好日子香烟/盒,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028006415,双喜好日子祥和香烟/条,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028008884,双喜春天香烟/盒,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028010108,中南海典8硬香烟/盒,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028010733,中南海（双中支北京）,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028010740,中南海双中支北京香烟/条,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028011716,真龙龙天下香烟/盒,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028011778,真龙起源香烟硬包/盒,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901028011785,真龙起源香烟硬包/条,香烟,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
