barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6923821100084,指南针打火机,香烟配套商品,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6935448200016,华宇打火机,香烟配套商品,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970177010116,四喜直冲打火机THC-919,香烟配套商品,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970177010208,四喜铁壳打火机THC-626,香烟配套商品,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970177011991,MR-TAO防风打火机,香烟配套商品,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6971697640012,正达打火机,香烟配套商品,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972184211678,文信打火机308A,香烟配套商品,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972785492070,宾仕贴纸打火机,香烟配套商品,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6974405860009,三A高品质打火机防风,香烟配套商品,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6974642620008,卡塔防爆明火打火机,香烟配套商品,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6974642620145,卡塔蓝焰大火力打火机KT-LY01,香烟配套商品,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6995180407166,新龙打火机,香烟配套商品,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970730939267,邦爵直冲防风打火机,香烟配套商品,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972830530634,老板822双色漆火机,香烟配套商品,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6975027450906,舰艺火机909,香烟配套商品,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6976348371567,港牌直冲打火机815,香烟配套商品,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6977365010040,槟气新型槟榔制品强劲烟果40g,香烟配套商品,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972054693191,彪牌防风打火机319,香烟配套商品,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6936101588991,ZIPPO优质打火机燃料133ml,香烟配套商品,家居用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
