barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6917751413703,妙洁妙易撕保鲜膜50m*30cm,保鲜膜_袋,日用洗护类,,妙洁,妙易撕,保鲜膜,,,,,,,,,,,,,,,,,袋,50m*30cm,,,,,,,,,,
6917751415905,妙洁免刀撕PE保鲜膜50m*25cm,保鲜膜_袋,日用洗护类,,妙洁,,保鲜膜,,,,,,免刀撕,PE,,,,,,,,,,,50m*25cm,,,,,,,,,,
6917751419972,妙洁免刀撕PE保鲜膜100m*30cm,保鲜膜_袋,日用洗护类,,妙洁,,保鲜膜,,,,,,免刀撕,PE,,,,,,,,,,,100m*30cm,,,,,,,,,,
6917751430045,妙洁保鲜袋点断式大号MBRL,保鲜膜_袋,日用洗护类,,妙洁,,保鲜袋,,,,,,点断式,大号,,,,,,,,,,,,,,,,,,,,,MBRL
6920690111722,鑫峰PE加厚型保鲜膜30cm*（80+20）m-1722,保鲜膜_袋,日用洗护类,,鑫峰,,保鲜膜,,,,,,PE,加厚型,,,,,,,,,,,30cm*（80+20）m,,,,,,,,,,1722
6922917661034,佳能保鲜膜60m-W200,保鲜膜_袋,日用洗护类,,佳能,,保鲜膜,,,,,,,,,,,,,,,,,袋,60m,,,,,,,,,,W200
6922917679022,佳能大号平口食物保鲜袋,保鲜膜_袋,日用洗护类,,佳能,,保鲜袋,,,,,,大号,平口,,食物保鲜,,,,,,,,,,,,,,,,,,,
6922917679039,佳能RP30保鲜袋100个,保鲜膜_袋,日用洗护类,,佳能,,保鲜袋,,,,,,,,,,,,,,,,100,个,,,,,,,,,,,RP30
6927594665993,清清美多用保鲜套100只,保鲜膜_袋,日用洗护类,,清清美,,保鲜套,,,,,,多用,,,保鲜,,,,,,,100,只,,,,,,,,,,,
6928947477027,新鲜生活快乐撕保鲜膜7702,保鲜膜_袋,日用洗护类,,新鲜生活,,保鲜膜,,,,,,快乐撕,,,,,,,,,,,袋,,,,,,,,,,,7702
6948673233209,芳草地食用保鲜膜套100只,保鲜膜_袋,日用洗护类,,芳草地,,保鲜膜,,,,,,,,,食用,,,,,,,100,只,,,,,,,,,,,
6956491563453,妙纪一次性保鲜套100只装,保鲜膜_袋,日用洗护类,,妙纪,,保鲜套,,,,,,一次性,,,保鲜,,,,,,,100,只装,,,,,,,,,,,
6972458475140,鲸鱼家一次性保鲜套100只,保鲜膜_袋,日用洗护类,,鲸鱼家,,保鲜套,,,,,,一次性,,,保鲜,,,,,,,100,只,,,,,,,,,,,
6948187522097,云娜多功能保鲜罩100个装,保鲜膜_袋,日用洗护类,,云娜,,保鲜罩,,,,,,多功能,,,保鲜,,,,,,,100,个,,,,,,,,,,,
6951886701496,绿派点断式保鲜膜30cm*125cm-0149,保鲜膜_袋,日用洗护类,,绿派,,保鲜膜,,,,点断式,,,,,保鲜,,,,,,,,,,,30cm*125cm,,,,,,,,0149
6921489054565,茶花一次性保鲜罩100只,保鲜膜_袋,日用洗护类,,茶花,,保鲜罩,,,,,,一次性,,,,,,,,,,100,只,,,,,,,,,,,
6971919640561,绿色密码一次性保鲜罩100只,保鲜膜_袋,日用洗护类,,绿色密码,,保鲜罩,,,,,,一次性,,,保鲜,,,,,,,100,只,,,,,,,,,,,
6942057101979,伟鸿食品保鲜膜套320只,保鲜膜_袋,日用洗护类,,伟鸿,,食品保鲜膜套,,,,,,,,,保鲜,,,,,,,320,只,,,,,,,,,,,
6935978059788,好媳妇保鲜膜套200只,保鲜膜_袋,日用洗护类,,好媳妇,,保鲜膜套,,,,,,,,,,,,,,,,200,只,,,,,,,,,,,
6952014527360,红贵纺一次性保鲜膜罩300只装,保鲜膜_袋,日用洗护类,,红贵纺,,保鲜膜,,,,,,一次性,,,保鲜,,,,,,,300,只,,,,,,,,,,,
6917751438829,妙洁厚实背心式保鲜袋中号160个,保鲜膜_袋,日用洗护类,,妙洁,,保鲜袋,,,,,,厚实,背心式,,,,,,,,,160,个,中号,,,,,,,,,,
6917751438867,妙洁厚实保鲜袋大号280入,保鲜膜_袋,日用洗护类,,妙洁,,保鲜袋,,,,,,厚实,,,保鲜,,,,,,,280,入,大号,,,,,,,,,,
6938606095226,巧妙9522劲爆保鲜罩300个装,保鲜膜_袋,日用洗护类,,巧妙,,保鲜罩,,,,,,劲爆,,,保鲜,,,,,,,300,个,,,,,,,,,,,9522
6943809617991,利兵LB-1799抽取式保鲜膜套200只装,保鲜膜_袋,日用洗护类,,利兵,LB-1799,保鲜膜套,,,,,,抽取式,,,,,,,,,,200,只装,,,,,,,,,,,
6970219181972,安可馨一次性保鲜膜罩220只装,保鲜膜_袋,日用洗护类,,安可馨,,保鲜膜,,,,,,一次性,,,,,,,,,,220,只装,,,,,,,,,,,
6920060900789,腾迪抽取式抗菌保鲜罩,保鲜膜_袋,日用洗护类,,腾迪,,保鲜罩,,,,抽取式,,抗菌,,,保鲜,,,,,,,,,,,,,,,,,,,
6948673237603,芳草地抽取式保鲜膜套200只,保鲜膜_袋,日用洗护类,,芳草地,,保鲜膜套,,,,,,抽取式,,,保鲜,,,,,,,200,只,,,,,,,,,,,
6920060961582,腾迪一次性保鲜套300只装TD-6158,保鲜膜_袋,日用洗护类,,腾迪,,保鲜套,,,,,,一次性,,,保鲜,,,,,,,300,只装,,,,,,,,,,,TD-6158
