barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6901236373996,维达蓝色经典有芯卷纸200g*10,卫生纸,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901236387504,维达棉韧立体美无芯卷纸四层150g*10,卫生纸,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903244670111,柔影三层无芯卫生纸150g*12,卫生纸,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903244676144,柔影无芯卫生纸2.5kg,卫生纸,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903244952033,心相印薰衣草四层无芯卫生纸18卷2kg,卫生纸,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920005775960,双灯本色柔韧压花卫生纸200张*5,卫生纸,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920559102809,凡雅好运树超柔卫生纸2.2kg,卫生纸,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920973900159,银鸽生活用纸2.475kg,卫生纸,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6921594888277,双熊猫皱纹纸400g,卫生纸,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6921947100353,大肥象长卷卫生纸1.8kg,卫生纸,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6921947101794,小肥象无芯卷纸1.8kg,卫生纸,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6921947101916,大肥象超韧卷纸1.2kg,卫生纸,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6921947101930,大肥象超韧软抽纸360张8包,卫生纸,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6921994520456,思景无芯卷纸12卷4层2.16kg,卫生纸,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6922266460005,清风原木纯品金装卫生纸4层12卷2kg/提,卫生纸,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6922266460012,清风原木纯品无芯卷筒卫生纸4层10卷1.8kg/提,卫生纸,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6922398213081,丽邦卫生纸4.8kg,卫生纸,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6922398213197,港兴喷浆卫生纸2.5kg,卫生纸,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6922398213760,丽邦生活提纸5kg,卫生纸,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6922398214828,丽邦卷纸3.5kg,卫生纸,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6922868261239,柔影长卷卫生纸1.7kg,卫生纸,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6923083026467,猫王卫生纸5kg,卫生纸,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6923083028287,猫王卷纸16卷2.25kg,卫生纸,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6923838522060,布同卫生纸5kg,卫生纸,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6923838523197,布同卫生纸5kg,卫生纸,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
