barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6903148137406,护舒宝云感棉贴身量多日用+夜用卫生巾284mm10,女性卫生用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903148138250,护舒宝云感棉贴身日用卫生巾240mm10片,女性卫生用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903148222539,护舒宝未来感极护量多日+夜用卫生巾270mm10片,女性卫生用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903244370424,七度空间优雅系列卫生巾空气感日用超薄245mm10片,女性卫生用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903244370431,七度空间优雅系列卫生巾丝柔表层夜用透气超薄275mm10片,女性卫生用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903244370639,安尔乐纤柔护垫80片,女性卫生用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903244370776,七度空间优雅系列卫生巾超长夜用338mm8片,女性卫生用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903244370950,七度空间少女系列卫生巾纯棉表层日用超薄,女性卫生用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903244370974,七度空间少女系列卫生巾纯棉表层夜用超薄,女性卫生用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903244370998,七度空间少女系列卫生巾超长夜用超薄型338mm8片,女性卫生用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903244371032,七度空间绢爽网面透气夜用超薄卫生巾275mm10片,女性卫生用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903244371292,七度空间少女系列绢爽超薄迷你日用卫生巾180mm14片,女性卫生用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903244371308,七度空间迷你特薄棉卫生巾180mm14片,女性卫生用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
