barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6901294409071,家安洗衣机槽超值特惠装清洁剂500g,家居清洁剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6902022132575,蓝月亮卫诺衣物消毒液1kg,家居清洁剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6905339060913,爱特福84消毒液468ml,家居清洁剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6925339888676,雅特84消毒液2L,家居清洁剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6926133588014,龙河84消毒液480ml,家居清洁剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6942032906001,兔之力蓝泡泡马桶清洁剂松香味50g*4/板,家居清洁剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6971788273105,居安洁84消毒液500ml,家居清洁剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6974352530185,滴露消毒液750ml,家居清洁剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6974352530192,滴露消毒液1.2L,家居清洁剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6971559480374,海宇宏夏季玻璃水1.8L,家居清洁剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6974352530208,滴露消毒液1.8L,家居清洁剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6954256907450,威王强力厨房清洁剂450g*2,家居清洁剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
