barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6935393296256,开普特加宽胶棉拖把38cm-WH-9625,打扫用具,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6935978031906,雄氏AGW-3190好媳妇胶棉地拖（另附棉头）,打扫用具,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6935978035966,好媳妇AGW3596A38CM胶头胶棉拖把,打扫用具,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6938248623276,亿丽佳特供畅拖双排拖把,打扫用具,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970841911732,家家赞伟鸿加宽胶棉拖把38cm-JZ-173,打扫用具,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970908720185,欧沐嘉四叶草胶棉拖把OMG-JM15,打扫用具,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973791310013,大卫旋转双桶拖把Q5,打扫用具,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973791310068,大卫箕扫把套装,打扫用具,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6930941704191,家欣胶棉拖把38cm,打扫用具,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6942057105502,伟鸿JJZ-0550玲珑免手洗平拖,打扫用具,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6955530680441,LX塑小美伸缩胶棉拖把38cmSXM-8044,打扫用具,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6955829800178,当好妈两排胶棉拖把D11-27cm,打扫用具,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6955829800581,当好妈38CM胶棉拖把（不锈钢手柄）/把,打扫用具,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973791310907,大卫平板拖把DP-P1206,打扫用具,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6931042611364,可立美K1136飓风一号胶棉拖把,打扫用具,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927594636146,清清美3614滚轮式胶棉拖把38cm,打扫用具,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6917751468222,妙洁齿梳扫把组合装,打扫用具,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6977123718126,华伟达简约精品套扫8012,打扫用具,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6935393249009,开普特免洗手平拖WH-4900,打扫用具,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
