barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6900077001693,隆力奇蛇胆牛黄花露水195ml,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901064000125,强力杀虫气雾剂600ml,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901064000767,灭害灵杀虫气雾剂环保型600ml,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901064000828,克害威杀虫气雾剂柠檬香型750ml,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901064000835,克害威杀虫气雾剂清香型750ml,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901064000996,克害威杀虫气雾剂无香型750ml,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901294174115,六神止痒花露水喷雾180ml,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901294176928,六神宝宝汉草1正痒精露160ml,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901294177017,六神清凉舒爽祛痱止痒花露水195ml/瓶,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901294179608,六神喷雾驱蚊花露水180ml,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901294197046,上海花露水195ml,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901358401393,华力杀虫气雾剂百花香600ml,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901586105056,雷达杀虫气雾剂清香型600ml,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901586105414,雷达无香杀虫气雾剂超值装600ml,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901586105452,雷达无香电热蚊香液无线器套装21ml,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901586106657,雷达欧护驱蚊液金银花香型100ml,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6902312300110,榄菊儿宝健大盘黑蚊香175g,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6902312301599,榄菊野菊花蚊香大盘装558g,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6902312302633,榄菊儿宝健蚊香495g,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6902312305528,览菊杀虫气雾剂无香水基500ml,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6902312312762,缆菊儿宝健大盘无烟免拆蚊香,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6904032120016,春娟驱蚊花露水栀子花香型180ml,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6904866163043,金鹿大盘微烟桶装蚊香艾草香型,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6907469009275,抢手杀虫气雾剂小螳螂无味型600ml/瓶,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6907469010158,枪手杀虫气雾剂小骑士清香型600ml/瓶,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6907469114665,枪手蓝枪清新清爽杀虫气雾剂600ml/瓶,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6907469324255,枪手无味蚊香液+蚊香器双液45ml*2,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6907861190373,彩虹蚊香无烟,杀虫用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
