barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6901294081383,美加净滋润沐浴露1L,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901294362710,启初牛奶谷胚宝宝洗发沐浴露620ml,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6902088304855,多芬深层营润浴露沐浴露400ml,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6902088310788,力士香氛宠肤沐浴乳幽莲魅肤11L,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6902088310801,力士香氛宠肤沐浴乳幽莲魅肤720ml,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6902088316490,力士精油香氛沐浴乳幽莲魅肤700ml,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6902088422825,多芬深层营润浓密沐浴泡400ml,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6902779312688,馥佩法国花香润肤清爽润白嫩白沐浴露2.08L,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903071303596,调皮宝滋养洗沐二合一1.06L,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903148099483,舒肤佳纯白清香型沐浴露720ml,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6907376506393,强生婴儿牛奶沐浴露1L,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6907435676098,好迪香薰舒缓沐浴露薰衣草香型2L,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6908332909265,索芙特玫瑰香滋养沐浴露1kg,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6910019015619,西亚斯浪漫邂逅香浴露700g,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6910019015718,西亚斯摩登魅香香浴露法国鸢尾香氛700g,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6911652213554,B.DuckBaby安护洗发沐浴露1kg,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6911652213561,B.DuckBaby安护洗发沐浴露500g,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6911652213585,B.DuckBaby安护沐浴露1kg,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6911652213592,B.DuckBaby婴儿安护沐浴露500ml,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920148040253,滋采沁凉冰爽沐浴露1.888kg,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920148061364,滋采薰衣草滋养沐浴露1.888kg,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920148071356,滋采薄荷清凉沐浴露1.8kg,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920547800359,蒂花之秀男士新生爽肤沐浴乳激爽能量550g,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920547884823,蒂花之秀精油魅惑雪嫩莹润香氛沐浴乳800g,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920547884984,蒂花之秀精油魅惑香氛沐浴乳馨香水润800g,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6921176306229,馥樱花柔润沐浴露800ml,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6921176306274,馥佩水润妹肤沐浴露1.8kg,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6921340900321,艾诗芬香沐浴露浪漫花香650ml,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6921340900338,艾诗芬香沐浴乳蜜意花香650ml,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6921340970287,罗曼诺清爽香体沐浴露经典600ml,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6921382733079,澳雪百合花香沐浴露2kg,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6921518112310,耐斯澎澎女生专用沐浴露750g,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6922089484769,诗朗法国迷蝶香水沐浴露2.008kg,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6922432219178,歌倩浪漫花香香水沐浴露1L,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6922432222260,歌倩花香滋润沐浴露2L,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6922432229498,名影法国5号香水沐浴露2L,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6922432233983,草本妍宝香水沐浴露1L,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6922432236663,草本妍宝香水沐浴露2L,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6922560913443,艾儿海马净白香水沐浴露2L,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6923523297549,花慕兰健康美肌沐浴露2.01kg,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6925849454774,黛维莉香型水润美肌沐浴乳1.8kg,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6925849456952,黛维莉妆派百合沁润沐浴露2kg,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6928370561614,樱花e恋珍珠莹润沐浴露1L,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6932228630995,可爱多婴幼儿乳木果洗发沐浴露1,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6933058891143,盐博士搓泥玫瑰香型500ml,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6933918906543,丹姿嫩肤亮采沐浴露1kg,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6933918906581,丹姿冰爽丝滑沐浴露1kg,沐浴露,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
