barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6902022135514,蓝月亮深层洁净护理洗衣液薰衣草香3kg,洗衣剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6902088707731,金纺怡神薰衣草柔顺剂2.3L,洗衣剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6902088713190,金纺怡神薰衣草衣物护理剂900ml,洗衣剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6902088716535,金纺怡神薰衣草衣物护理剂3.6kg,洗衣剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6902088951011,奥妙除菌除螨洗衣液2.3kg*2,洗衣剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6904032063252,双猫薰衣草香4D去渍星洗衣液3kg,洗衣剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6904032530242,红玫瑰天然香氛皂液3.4kg,洗衣剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6910019021153,超能香氛洗衣液3kg,洗衣剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920148010683,芭菲倍柔洗衣液3kg,洗衣剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920148010706,芭菲柔软洗衣液抑菌洁净型3.45kg,洗衣剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920148010829,芭菲洁白倍净配方柔软洗衣液3kg,洗衣剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920174748871,好爸爸Kispa特惠洗衣液2.38kg*2,洗衣剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920174767902,好爸爸Kispa天然植物基亲肤洗衣露内衣专用950g,洗衣剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920174770896,立白御品海洋精华智净护衣洗衣液2kg,洗衣剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6922169871410,清玺精油香氛洗衣液5kg,洗衣剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6922432265007,威猛将军亮白增艳护理洗衣液5L,洗衣剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6922454361770,蓝漂全效洗衣液5kg,洗衣剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6923523200099,丰婷嘉怡强效去污柔顺洗衣液5kg,洗衣剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6923523299451,嘉怡超洁香氛除螨洗衣液5kg,洗衣剂,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
