barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6901894112968,白猫冷水速洁洗衣粉沁新柠檬薄荷香4kg,洗衣粉,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6902088717334,奥妙洗衣粉薰衣草味2kg,洗衣粉,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6902088721034,奥妙超效洁净洗衣粉4kg,洗衣粉,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903148050675,碧浪亮洁柔香无磷洗衣粉1.7kg,洗衣粉,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903148078907,汰渍洗衣粉净白去渍1.15kg,洗衣粉,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903148078990,碧浪去渍无磷洗衣粉自然清新型1.7kg,洗衣粉,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903148253496,汰渍净白洗衣粉5kg,洗衣粉,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903148305652,碧浪自然清新型洗衣粉3.5kg,洗衣粉,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903148319970,汰渍深层洁净洗衣粉3kg,洗衣粉,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6904032520120,红玫瑰领袖净洗衣粉4kg,洗衣粉,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6904032620097,双猫超快超净2合1洗衣粉5kg,洗衣粉,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6907917015582,奇强A3加薰香氧漂洗衣粉4.48kg,洗衣粉,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6907917016008,奇强速效洗衣粉5kg,洗衣粉,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
