barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6901294300262,高夫净透控油泡沫洁面乳120g,洗面乳,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901294301139,高夫经典保湿磨砂洁面乳120g,洗面乳,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6902088411706,旁氏亮采净白系列粉润白皙洁面乳75g,洗面乳,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6902088411737,旁氏亮采净白系列米粹润白洁面乳75g,洗面乳,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6902088411768,旁氏清透净白系列清透净白洁面乳75g,洗面乳,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903148026076,OLAY玉兰油乳液透亮洁面乳100g,洗面乳,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6915324713601,妮维雅男士水活多效洁面乳100g,洗面乳,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6915324767246,妮维雅晶纯皙白泡沫洁面乳150g,洗面乳,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6915324888385,妮维雅男士控油劲爽洁面乳100ml,洗面乳,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6917246004355,曼秀雷敦男士控油抗痘洁面乳150g,洗面乳,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6917246008360,曼秀雷敦男士保湿活力洁面乳150ml,洗面乳,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6925350501158,相宜本草控油祛痘洁面膏100g,洗面乳,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006112404,百雀羚水嫩净透精华洁面乳95g,洗面乳,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006112763,百雀羚水嫩精纯卸妆洁面乳95g,洗面乳,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006112770,百雀羚水嫩细致精华洁面膏95g,洗面乳,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006113784,百雀羚草本精粹控油净化洗颜泥95g,洗面乳,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006113791,百雀羚保湿亮白洁面膏95g,洗面乳,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006114064,百雀羚水润保湿洁面乳95g,洗面乳,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006114255,百雀羚男士控油磨砂洁面套装180g,洗面乳,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006114262,百雀羚男士焕能清新洗颜泥140g,洗面乳,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
