barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6901121300762,万丽洁厕精900g,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901463980745,金鱼洗涤灵1.29kg+200g,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901586105179,威猛先生洁厕液清香型500g,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901586106169,威猛先生厨房重油污净除菌柠檬香型500g/瓶,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901586110456,威猛先生厨房重油污净双瓶超值装TT特供清爽柠檬,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901894122424,白猫氨基酸柠檬红茶洗洁精1.128kg/瓶,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901894129263,白猫蓝洁灵无磷厕盆自动冲洗剂茉莉香型50g*3,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901894129485,白猫洁厕灵50g,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6902312308123,榄菊生姜去腥洗洁精4.18kg,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6904032875411,红玫瑰果蔬餐具洗洁精4kg,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6907469010080,帮洁清香强力去垢亮洁洁厕净900g,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6907469013364,帮洁柠檬香强力去垢亮洁洁厕净900g,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6907469014460,帮洁洁厕净柠檬双瓶装600ml*2,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6907469015689,帮洁强力去垢亮洁清香洁厕净900g*2,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6910019010928,雕牌全效加浓洗洁精1.5kg,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920174740967,超威松香洁厕净超值装500g,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920174754483,立白新金桔洗洁精1kg,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920721711600,劳工牌柠檬洗洁精2.2kg,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920721711693,劳工牌洗洁精泵装柠檬味5kg,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920721717947,斧头牌柠檬洗洁精1.18kg*3,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920721718111,斧头牌柠檬护肤洗洁精1.05kg,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920721718357,斧头牌柠檬护肤洗洁精1.18kg*3,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6922013200014,南科洁厕王500g,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6922365800016,绿伞超强油烟净绿橄榄香型1kg/瓶,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6925911501641,亮净厨房去重油剂氧漂抗菌配方1L,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6925911501658,亮净快速去重油剂渗透洁净配方1L,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6925911511671,威洁士洁厕精强力+清香1L,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6925911516447,妈妈壹选新一代餐具净柚子柠檬1.28kg,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6925911520239,妈妈壹选新一代餐具净柚子金桔1.28kg,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6925911520246,妈妈壹选新一代餐具净天然柠檬草1.28kg,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6925911528549,绿劲妈妈壹选柚子金桔洗洁精1.28kg,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6925911528556,绿劲妈妈壹选柚子柠檬洗洁精1.28kg,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6926366120197,雪豹手榴弹油污净组合装400ml*2,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927062320126,亮晶晶野生姜除腥洗洁精1.5kg,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927062321109,亮晶晶除菌洗洁精1.5kg,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6941179205114,洁宜佳强效油污净525ml*2,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6942826470121,家家宜绿可三效合一洁厕宝50g,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6942923502879,好太太生姜洗洁精1.5kg,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6943238628629,皇冠大公鸡多功能油污净500ml*2,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6948195821250,洁劲100洗洁精香橙除油5.108kg,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6948195821366,洁劲100柠檬清新洗洁精1.12kg,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6954256900086,威王柠檬清香型自动冲洗洁厕宝50g*5+38g*2,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6954256903599,威王强力洁厕净900g,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6955023602233,居美完美好太太冷水去油洗洁精1.2kg,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6957411120145,老管家高山茶籽洗洁精1.5kg,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970032250060,妙管家香氛洁厕液支600g*2,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970032250138,妙管家厨房重油污清洁剂660g*2,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970032250992,公道先生强力洁厕净900g,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970032251012,公道先生厨房强力油污净柠檬清香500g,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970032251043,公道先生厨房强力油污净500g*2,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970032251142,妙管家厨房重油污清洁剂480g*2,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970470332137,蔬果园阳光橘子油污净500g,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970470332243,蔬果园阳光松木洁厕剂500g,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970697710589,妈咪爱生姜洗洁精1.5kg,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970782270394,液馨香小苏打金桔洗洁精1.5kg,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6971797602330,桉心小苏打冷水去油洗洁精1kg,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972208571191,马头生姜洗洁精5kg,浴厕厨房清洁用品,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
