barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6908011911350,青蛙强净中毛牙刷QU135B,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6908011911978,青蛙螺旋丝牙刷,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6910019016722,亲齿家族按摩牙刷2支YS706,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6910019016739,亲齿家族按摩牙刷三支装YS706,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6923476108688,倍加洁F868A健之柔护龈抗菌型牙刷,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6930114308034,卡尼尔家庭牙刷五支,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6930387571104,可洁可净新功能物理磨尖毛牙刷K303,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6930387571289,可洁可净K235新功能物理磨尖毛牙刷,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6930387571869,可洁可净K323新功能物理磨尖毛牙刷,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6933179210168,纳美纳米抗菌换头装牙刷1支装,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6933179260026,纳美极简生活备长炭刷丝牙刷6002,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6933179260064,纳美极简生活格调牙刷1支装,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6933179260095,纳美极简生活家庭装牙刷3支装,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6933179260125,纳美极简生活透明源牙刷2支装,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6939291571569,三金笨鸟生活无忧家庭装牙刷,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6950607130324,尚口清麦芽炭丝牙刷3支,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6954221800106,2032劲爽行动派牙刷,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6954221800120,蓝蓝鲸儿童护龈2-5牙刷BSD120,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6954221800151,2032柔护+高密软毛牙刷,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6954221800182,2032炫柔护龈牙刷BSD182六支装,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6954221800236,2032行动派牙刷4支装,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6954221800267,2032晶钻牙刷双支装267,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6955976205192,卡洁麦秸秆5支装牙刷519,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6956393482067,怡宝全效护龈牙刷,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6956393483026,怡宝麦秆亮彩牙刷8302,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6956393486010,怡宝8601劲爽抑菌牙刷2支装,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970885031328,黑白配牙刷四支装132,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6928471360192,舒客极悦4倍高密柔丝牙刷两支,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6928471360178,舒客极悦雪绒晶洁牙刷单支装,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901070613937,云南白药金口健牙刷羽触护龈两支,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901070614040,云南白药金口健焕净牙刷单支装,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6928471360284,舒客极悦宽洁速净牙刷双支装,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970885031861,黑白配BW186竹倍净双旋瞬净牙刷两支装,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970988071429,上扬NVR皓至9号云感呵护牙刷双支装,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973355438863,一次性使用口腔清洁刷,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970885032530,黑白配253超柔磁白莹亮牙刷,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970356166436,参半仙女棒牙刷单支装,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6910019028541,亲齿家族洁净柔护牙刷两支装C1,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6910019028534,亲齿家族洁净柔护牙刷单支装C1,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970356166450,参半儿童泡泡魔法棒牙刷双支装,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6928926007108,好来牙刷宽绵密炭两支装,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6908011020106,青蛙弹韧密护牙刷特惠5支装010C,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6908011020076,青蛙抗敏舒龈牙刷2支装QZ007C,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6908011020069,青蛙密泡呵护牙刷QZ006C,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6950607152937,奥乐奇牙刷,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920354840418,高露洁绒绒丝窝状护龈牙刷单支装,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6908011020083,青蛙宽头细净008C牙刷,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920354840401,高露洁绒绒丝六维净齿牙刷双支装,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970988072013,上扬NVR双重深洁牙刷三支装,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6933179220204,内美柔感牙刷2020双支装,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920354840395,高露洁绒绒丝窝状护龈牙刷双支装,牙刷,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
