barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6900464914216,植雅抑制牙菌斑牙膏新140g,牙膏,日用洗护类,,植雅,,牙膏,,,,,,,,,抑制牙菌斑,,,,,,,,,140g,,,,,,,,,,
6901070600005,云南白药牙膏留兰香型120g,牙膏,日用洗护类,,云南白药,,牙膏,,,,,,留兰香型,,,,,,,,,,,,120g,,,,,,,,,,
6901070601699,云南白药朗健牙膏薄荷香型180g,牙膏,日用洗护类,,云南白药,朗健,牙膏,,,,,,薄荷香型,,,,,,,,,,,,180g,,,,,,,,,,
6901070602795,云南白药金口健牙膏益优清新激爽薄荷香型145g,牙膏,日用洗护类,,云南白药,金口健,牙膏,,,,,,益优清新,激爽薄荷香型,,,,,,,,,,,145g,,,,,,,,,,
6901070602801,云南白药金口健牙膏益优清新冰柠薄荷型105g,牙膏,日用洗护类,,云南白药,金口健,牙膏,,,,,,益优清新,冰柠薄荷型,,,,,,,,,,,105g,,,,,,,,,,
6901070602818,云南白药金口健牙膏冰柠薄荷145g,牙膏,日用洗护类,,云南白药,金口健,牙膏,,,,,,冰柠薄荷,,,,,,,,,,,,145g,,,,,,,,,,
6901070610332,云南白药牙膏薄荷清爽型230g,牙膏,日用洗护类,,云南白药,,牙膏,,,,,,薄荷清爽型,,,,,,,,,,,,230g,,,,,,,,,,
6901890800036,两面针中药护龈冰爽薄荷香型牙膏200g,牙膏,日用洗护类,,两面针,,牙膏,,,,,,中药,冰爽薄荷香型,,护龈,,,,,,,,,200g,,,,,,,,,,
6901890801811,两面针爱牙牙儿童健牙膏香甜草莓香50g,牙膏,日用洗护类,,两面针,爱牙牙,牙膏,,,,,,香甜草莓香,,,健牙,,,,,,,,,50g,,,,,,,,儿童,,
6902088603217,中华魔丽迅白牙膏100g,牙膏,日用洗护类,,中华,魔丽迅白,牙膏,,,,,,,,,迅白,,,,,,,,,100g,,,,,,,,,,
6902088605228,中华牙膏200g,牙膏,日用洗护类,,中华,,牙膏,,,,,,,,,,,,,,,,,,200g,,,,,,,,,,
6902088605259,中华健齿白牙膏炫动果香荷味200g,牙膏,日用洗护类,,中华,健齿白,牙膏,,,,,,炫动果香,荷味,,健齿,美白,,,,,,,,200g,,,,,,,,,,
6902088605532,中华双钙牙膏薄荷味90g,牙膏,日用洗护类,,中华,,牙膏,,,,,,双钙,薄荷味,,,,,,,,,,,90g,,,,,,,,,,
6902088932751,中华抗糖修护牙釉质牙膏冰清雪莲味90g,牙膏,日用洗护类,,中华,,牙膏,,,,,,冰清雪莲味,,,抗糖,修护牙釉质,,,,,,,,90g,,,,,,,,,,
6902132082401,冷酸灵防菌抗敏感清凉薄荷香型牙膏180g,牙膏,日用洗护类,,冷酸灵,,牙膏,,,,,,清凉薄荷香型,,,防菌,抗敏感,,,,,,,,180g,,,,,,,,,,
6902132083606,冷酸灵清火抗敏感牙膏180g,牙膏,日用洗护类,,冷酸灵,,牙膏,,,,,,清火,抗敏感,,,,,,,,,,,180g,,,,,,,,,,
6902132083798,冷酸灵贝乐乐成长优护儿童牙膏缤纷热果味60g,牙膏,日用洗护类,,冷酸灵,贝乐乐成长优护,牙膏,,,,,,缤纷热果味,,,成长优护,,,,,,,,,60g,,,,,,,,儿童,,
