barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6934887389818,明辉女士拖鞋,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972378472113,新博美男凉拖K-22,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6956865444371,鞋老大女士凉拖鞋,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6956865447204,鞋老大男女拖鞋4720,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6974262570233,永南男女凉拖鞋YN2310,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6957435703232,班竹林EVA橡塑男土凉拖097,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972757552153,华玉男女凉拖鞋8819,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973028170076,锐驰女凉拖,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6974096061099,善艺新程男士橡塑凉拖109,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6974096061105,善艺新程女士橡塑凉拖110,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6925345591225,艾莱佳9122洞洞男鞋,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973028170120,锐驰男士拖鞋,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973714790243,永达儿童沙滩拖鞋531-11,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6974096067374,善艺牌星河男土凉拖鞋SY737,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6975778720617,华飞佳男士拖鞋,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6934420350992,豪足道女拖鞋5099,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6977771950176,两只蟹男士凉拖鞋T07,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6941012781393,足乐足美女士凉拖190850,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6976896330498,潮步男女士凉拖鞋665-666,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6977872540023,松山悠品男土凉拖鞋2507,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6941012781386,足乐足美男士凉拖190849,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6925448083481,23308居之佳友情蒙巴妮701A米奇标男凉拖,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6941012781409,足乐足美男士凉拖190851,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6974096063352,善艺牌乌拉抗菌按摩男士凉拖SY335,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973028170144,佳玉路美佳2025男女橡塑凉拖鞋,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972757551149,华玉时尚情侣拖鞋825,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972757551125,华玉凉拖鞋321,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927198586038,路利曼男士凉拖6252,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6947247967250,流氓兔男凉拖EVA-E61344,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6954226412816,潮源2507男女拖鞋EVA,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973854252731,足尔惠男凉拖鞋989,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6976896330429,酷乐足家居拖鞋611/612,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6923795601396,捷足登男女拖鞋835/836,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6977985530089,包包熊女凉拖2225,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6977771950169,两只蟹女士凉拖鞋k07,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6947247967090,流氓兔男土凉拖MMH-E61303,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970201480304,蒙巴妮夏季男女拖鞋701A,拖鞋,服装鞋帽类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
