barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6923083025606,猫王卫生纸至爱平纹妇幼专用12卷1.8kg,其他婴儿纸制品,母婴用品类,,猫王,,卫生纸,,,,,,至爱平纹,,,妇幼专用,,,,,,,12,卷,1.8kg,,,,,,,,妇幼,,
6923838521940,温馨生活布同卫生卷纸2kg,其他婴儿纸制品,母婴用品类,,温馨生活,,卫生卷纸,,,,,,布同,,,,,,,,,,,,2kg,,,,,,,,,,
6931950700075,雪亮卫生纸18卷2.5kg,其他婴儿纸制品,母婴用品类,,雪亮,,卫生纸,,,,,,,,,,,,,,,,18,卷,2.5kg,,,,,,,,婴儿,,
6939050816283,好洁净妇婴专用纸,其他婴儿纸制品,母婴用品类,,好洁净,,妇婴专用纸,,,,,,,,,,,,,,,,,,,,,,,,,,妇婴,,
6941970702614,金博仕金柔经典卫生纸2.5kg,其他婴儿纸制品,母婴用品类,,金博仕,金柔经典,卫生纸,,,,,,,,,,,,,,,,,,2.5kg,,,,,,,,婴儿,,
6941970706254,金博仕亲亲佳人妇婴无芯卷纸18卷2.25kg,其他婴儿纸制品,母婴用品类,,金博仕,亲亲佳人,妇婴无芯卷纸,,,,,,无芯,,,,,,,,,,18,卷,2.25kg,,,,,,,,妇婴,,
6970590653808,在一起妇婴卷纸5kg,其他婴儿纸制品,母婴用品类,,在一起,,妇婴卷纸,,,,,,,,,,,,,,,,,,5kg,,,,,,,,妇婴,,
6948567802801,遇见青春妇婴适用抽取式面巾纸10包,其他婴儿纸制品,母婴用品类,,遇见青春,,抽取式面巾纸,,,,,,,,,,,,,,,,10,包,,,,,,,,,妇婴适用,,
6928242504589,云梦卫生纸5kg,其他婴儿纸制品,母婴用品类,,云梦,,卫生纸,,,,,,,,,,,,,,,,,,5kg,,,,,,,,婴儿,,
6948567802825,遇见青春邂逅妇婴适用抽面巾纸12包,其他婴儿纸制品,母婴用品类,,遇见青春邂逅,,抽面巾纸,,,,,,,,,,,,,,,,12,包,,,,,,,,,妇婴适用,,
6948710006179,达意可湿水棉柔亲肤卫生纸3.5kg,其他婴儿纸制品,母婴用品类,,达意,,湿水棉柔亲肤卫生纸,,,,,,湿水棉柔,亲肤,,,,,,,,,,,3.5kg,,,,,,,,婴儿,,
6948710006469,达意母婴4+1系列可湿水卷纸5kg,其他婴儿纸制品,母婴用品类,,达意母婴,4+1系列,可湿水卷纸,,,,,,,,,,,,,,,,,,5kg,,,,,,,,母婴,,
6948457506390,洁澜雅可湿水卫生纸5kg,其他婴儿纸制品,母婴用品类,,洁澜雅,,可湿水卫生纸,,,,,,可湿水,,,,,,,,,,,,5kg,,,,,,,,婴儿,,
6926680312087,云冈母婴卫生纸5层12卷1.68kg,其他婴儿纸制品,母婴用品类,,云冈,,母婴卫生纸,,,,,,5层,,,,,,,,,,12,卷,1.68kg,,,,,,,,母婴,,
