barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6940255800069,优普爱水润爽肤婴儿湿巾80片,婴儿湿巾,母婴用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6953062903557,慕风婴儿口手湿巾80片,婴儿湿巾,母婴用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970208702058,利友婴儿手口湿巾80片,婴儿湿巾,母婴用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6971476590170,萌小棉新生儿手口湿巾5包,婴儿湿巾,母婴用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6937877100608,娇润甜睡狮婴儿加厚湿巾80片,婴儿湿巾,母婴用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6959769405929,KNIDUCK小黄鸭加厚婴儿手口湿巾80片,婴儿湿巾,母婴用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6971482923047,e小黄鸭婴儿手口湿巾80片*10,婴儿湿巾,母婴用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6971482923757,T.DUCK.TENG小黄鸭婴儿手口湿巾60片,婴儿湿巾,母婴用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6971482923733,DUCK.TENG小黄鸭婴儿手口湿巾80片装,婴儿湿巾,母婴用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972979895687,爱舒柔婴儿手口湿巾80+20片,婴儿湿巾,母婴用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972979895694,爱舒柔婴儿手口湿巾80片,婴儿湿巾,母婴用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6971935392529,雅润婴儿手口柔湿巾80片,婴儿湿巾,母婴用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6971482924907,小黄鸭婴幼儿手口湿巾80片,婴儿湿巾,母婴用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6976505376022,新岭婴儿手口湿巾80片*3包,婴儿湿巾,母婴用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6971768309008,秦氏甘露婴幼儿手口湿巾85片,婴儿湿巾,母婴用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6974062820347,亲亲喔婴儿手口湿巾80只装,婴儿湿巾,母婴用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6975768900944,#Z四海得康婴儿手口湿巾80p,婴儿湿巾,母婴用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6925463910908,小花咪婴儿手口湿巾80片装,婴儿湿巾,母婴用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6971482924938,T.DUCK小黄鸭婴儿手口湿巾80片（临）,婴儿湿巾,母婴用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6974073007560,迪士尼婴儿手口绵柔湿巾80片,婴儿湿巾,母婴用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6942358280885,Babycare婴幼儿手口湿巾80片/包,婴儿湿巾,母婴用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6933568536107,爱思可草莓熊婴儿手口湿巾80片,婴儿湿巾,母婴用品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
