barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6927030000029,烟斗往复式充电剃须刀SV-W3010,个人护理电器,电子配件类,,烟斗,,剃须刀,,,,,,往复式,充电,,,,,,,,,,,,,,,,,,,,,SV-W3010
6930469659003,康夫电吹风,个人护理电器,电子配件类,,康夫,,电吹风,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6932835201823,朗威充电式小巧便携式剃须刀RS182,个人护理电器,电子配件类,,朗威,,剃须刀,,,,,,充电式,小巧,便携式,,,,,,,,,,,,,,,,,,,,RS182
6947265407516,飞利浦电动剃须刀PQ190,个人护理电器,电子配件类,,飞利浦,,电动剃须刀,,,,,,,,,,,,,,,,,,,,,,,,,,,,PQ190
6949123309239,飞科液晶三头水洗剃须刀FS923,个人护理电器,电子配件类,,飞科,,剃须刀,,,,,,液晶,三头,水洗,,,,,,,,,,,,,,,,,,,,FS923
6970309560618,超人电动单头剃须刀RS102,个人护理电器,电子配件类,,超人,,电动剃须刀,,,,,,电动,单头,,,,,,,,,,,,,,,,,,,,,RS102
6972785770178,博锐电动剃须刀PS187,个人护理电器,电子配件类,,博锐,,电动剃须刀,,,,,,,,,,,,,,,,,,,,,,,,,,,,PS187
6972785770321,博锐电动剃须刀PS181,个人护理电器,电子配件类,,博锐,,电动剃须刀,,,,,,,,,,,,,,,,,,,,,,,,,,,,PS181
6972785770383,博锐电动剃须刀PS108,个人护理电器,电子配件类,,博锐,,电动剃须刀,,,,,,,,,,,,,,,,,,,,,,,,,,,,PS108
6951074380113,真汉子电动剃须刀8011,个人护理电器,电子配件类,,真汉子,,电动剃须刀,,,,,,,,,,,,,,,,,,,,,,,,,,,,8011
6972785770833,博锐电动剃须刀双头水洗,个人护理电器,电子配件类,,博锐,,电动剃须刀,,,,,,双头,水洗,,,,,,,,,,,,,,,,,,,,,
6972785770796,博锐电动剃须刀,个人护理电器,电子配件类,,博锐,,电动剃须刀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6949123308935,飞科电动剃须刀FS893蜘蛛侠,个人护理电器,电子配件类,,飞科,,电动剃须刀,,,,,,,,,,,,,,,,,,,,,,,,,,,,FS893
6949123363804,飞科高速电吹风FH6370太空灰,个人护理电器,电子配件类,,飞科,,电吹风,,,,,,高速,,,,,,,,,,,,,,,太空灰,,,,,,,FH6370
6949123308836,飞科双头电动剃须刀FS883,个人护理电器,电子配件类,,飞科,,电动剃须刀,,,,,,双头,,,,,,,,,,,,,,,,,,,,,,FS883
6949123363798,飞科高速电吹风FH6370公主粉,个人护理电器,电子配件类,,飞科,,电吹风,,,,,,高速,,,,,,,,,,,,,,,公主粉,,,,,,,FH6370
6975137440118,大山外云艾草按摩锤,个人护理电器,电子配件类,,大山外,,按摩锤,,,,,,云,艾草,,,,,,,,,,,,,,,,,,,,,
6972785771786,博锐电动剃须刀PS157,个人护理电器,电子配件类,,博锐,,电动剃须刀,,,,,,,,,,,,,,,,,,,,,,,,,,,,PS157
6972785771885,博锐电动剃须刀P002,个人护理电器,电子配件类,,博锐,,电动剃须刀,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002
6970309567594,超人三头全身水洗剃须刀RS321,个人护理电器,电子配件类,,超人,,剃须刀,,,,,,三头,全身水洗,,,,,,,,,,,,,,,,,,,,,RS321
6949123363781,飞科高速电吹风FH6370珍珠白,个人护理电器,电子配件类,,飞科,,电吹风,,,,,,高速,,,,,,,,,,,,,,,珍珠白,,,,,,,FH6370
6949123363965,飞科电吹风FH6278,个人护理电器,电子配件类,,飞科,,电吹风,,,,,,,,,,,,,,,,,,,,,,,,,,,,FH6278
6949123306412,飞科电动剃须刀FS683星云蓝,个人护理电器,电子配件类,,飞科,,电动剃须刀,,,,,,,,,,,,,,,,,,,,,星云蓝,,,,,,,FS683
6949123306832,飞科电动剃须刀FS683星云黑,个人护理电器,电子配件类,,飞科,,电动剃须刀,,,,,,,,,,,,,,,,,,,,,星云黑,,,,,,,FS683
6949123306436,飞科电动剃须刀FS685天际蓝,个人护理电器,电子配件类,,飞科,,电动剃须刀,,,,,,,,,,,,,,,,,,,,,天际蓝,,,,,,,FS685
