barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6901826807641,南孚1.5V7号碱性电池5粒可撕挂卡装,电池,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901826888244,南孚1.5V7号碱性电池2粒挂卡装,电池,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6911334442418,双鹿精品7号碱性电池2粒装,电池,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920193252618,金霸王7号碱性电池6粒挂卡装,电池,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6932620201014,2032柔护+高密软毛牙刷,电池,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6932620204169,2032柔护+高密软毛牙刷,电池,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6933237802755,华虹7号电池,电池,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6954695190383,长虹7号碱性电池2粒卡装,电池,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973043880462,南孚电子纽扣电池CR2032,电池,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973043880479,传应锂锰物联电池5粒挂卡装,电池,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973043883784,益圆5号一元好电池,电池,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973043886785,益圆电池7号1粒装,电池,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973467010360,华太五号电池,电池,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
