barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6970418170784,骆驼台地扇16寸FS-40A1621,电风扇,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6923046212845,先锋机械落地扇,电风扇,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6923615579867,格力直杆落地扇Fd-3515h7,电风扇,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6941220209719,荣事达落地扇FS40B16Z/台,电风扇,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6958688901956,美诗儿转页扇,电风扇,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6952503213347,钻石牌落地扇FS-40-A-32型,电风扇,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6914621226708,艾美特机械落地扇,电风扇,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6921598480514,先科立式空气循环扇FX-8005,电风扇,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6939924841243,美的风扇落地扇FS45-22N,电风扇,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6952503213354,钻石落地扇,电风扇,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6958688903752,美诗儿转页台扇M2-375,电风扇,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972716542256,点滴挂脖两档充电风扇,电风扇,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972716542591,点滴挂脖充电风扇DD5616,电风扇,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973079388932,16寸富土宝FS165落地扇风扇,电风扇,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6974069070721,红双喜机械落地扇FS417,电风扇,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6937710403439,钻石16寸特价落地扇4011J-1,电风扇,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6914621252035,艾美特空气循环扇FA23-X127,电风扇,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6937710402425,钻石18寸落地扇咖啡金铝叶（FS45-33A）,电风扇,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6952503215280,钻石四档直杆循环扇12寸XHFS30-1,电风扇,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973079388581,FT228富士宝台扇16寸,电风扇,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973832656100,骆驼台扇16寸,电风扇,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6939924853307,美的七叶机械落地扇FSA40SLB,电风扇,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
