barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6901294080010,美加净银耳珍珠滋养霜80g,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901294890022,雅霜润肤香品80g,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6904032410339,春娟黄芪霜经典黄盒30g,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920999701730,大宝SOD蜜100ml,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920999701754,大宝SOD蜜200ml,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920999705011,大宝SOD清爽保湿露100ml,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6920999705042,大宝SOD蜜90ml,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6921319110263,标婷维生素E乳100g,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6923129517782,颐莲玻尿酸补水喷雾300ml,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6925350502636,相宜本草润泽保湿八倍凝水霜50g,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006112459,百雀羚水嫩精纯明星美肌水100ml,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006112527,百雀羚水嫩倍现臻美套装295g,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006112541,百雀羚惊喜草本精华套装250ml,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006112565,百雀羚水嫩精纯明星眼霜15ml,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006112589,百雀羚水嫩精纯防晒隔离乳40ml,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006112671,百雀羚水嫩倍现至尚护肤套装245ml,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006112800,百雀羚水能量焕颜凝乳90ml,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006113227,百雀羚润肤霜41.5g,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006113463,百雀羚蛇油维他保湿SOD蜜150g,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006113760,百雀羚水润深层保湿霜+美容液75ml,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006113869,百雀羚草本水润深层保湿乳100g,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006113876,百雀羚百草8杯水保湿水嫩面膜22g*5,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006113944,百雀羚草本精粹焕亮莹润柔肤水100ml,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006113951,百雀羚草本精萃平衡润泽爽肤水100ml,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006114071,百雀羚草本精萃8杯水倍润精华霜50g,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006114569,百雀羚美白防晒乳SPF50套装92g,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006114583,百雀羚百草本水嫩倍现保湿精华霜50g,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006114613,百雀羚水嫩倍现盈透精华水100ml,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006114620,百雀羚水嫩倍现保湿精华乳100g,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006114651,百雀羚水嫩倍现保湿特润霜50g,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006118086,百雀羚草本肌初赋活紧肤精华水100ml,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006118093,百雀羚肌初赋活紧肤焕颜乳90ml,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006118109,百雀羚肌初赋活抗皱菁华霜50g,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006120492,百雀羚密集润泽补水面膜22ml*5,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006120515,百雀羚草本丝滑凝润保湿面膜22g*5,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927006120645,百雀羚肌初赋活致臻护肤套装250g,女士保养用品,美妆护肤类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
